i,s,in mandelbrot,seedx,seedy
500,100000,15733,7536,8354
1000,100000,15709,7536,8354
1500,100000,15701,7536,8354
2000,100000,15695,7536,8354
2500,100000,15694,7536,8354
3000,100000,15693,7536,8354
3500,100000,15693,7536,8354
4000,100000,15692,7536,8354
4500,100000,15692,7536,8354
500,100000,15825,4321,4682
1000,100000,15809,4321,4682
1500,100000,15801,4321,4682
2000,100000,15797,4321,4682
2500,100000,15794,4321,4682
3000,100000,15794,4321,4682
3500,100000,15792,4321,4682
4000,100000,15792,4321,4682
4500,100000,15792,4321,4682
500,100000,15971,6843,6779
1000,100000,15941,6843,6779
1500,100000,15932,6843,6779
2000,100000,15930,6843,6779
2500,100000,15929,6843,6779
3000,100000,15924,6843,6779
3500,100000,15924,6843,6779
4000,100000,15924,6843,6779
4500,100000,15922,6843,6779
500,100000,15969,5769,3567
1000,100000,15948,5769,3567
1500,100000,15941,5769,3567
2000,100000,15937,5769,3567
2500,100000,15936,5769,3567
3000,100000,15935,5769,3567
3500,100000,15932,5769,3567
4000,100000,15931,5769,3567
4500,100000,15930,5769,3567
